,Unnamed: 0,count_LAIONScore,mean_LAIONScore,std_LAIONScore,min_LAIONScore,25%_LAIONScore,50%_LAIONScore,75%_LAIONScore,max_LAIONScore,skew_LAIONScore,kurtosis_LAIONScore,RatingScore_mean,RatingScore_std,Clipscore_mean,Clipscore_std,Artifact_mean,Artifact_std,name
82,LAIONScore,32.0,7.115168378,0.18317978,6.712259293,6.977831602,7.154263973,7.231521726,7.500039577,0.00430348,-0.514681029,7.787816331,0.350199067,0.284660339,0.008575925,1.766217474,0.163932996,lyriel_v14.safetensors-29
83,LAIONScore,32.0,6.600403726,0.256512022,6.031876564,6.510230064,6.622279406,6.742718935,7.045068264,-0.623894395,-0.054494502,7.508259282,0.978059319,0.205469131,0.034958535,2.007548276,0.537354116,lyriel_v14.safetensors-3
84,LAIONScore,32.0,5.877582937,0.198270925,5.520982742,5.699440241,5.913811207,6.020645261,6.370872498,0.268796274,-0.432644245,6.433728099,0.345417949,0.248184204,0.016940685,1.643478509,0.200227492,lyriel_v14.safetensors-4
85,LAIONScore,32.0,6.445394084,0.214742911,6.008598328,6.288130999,6.421504021,6.602802038,6.880234241,0.019649988,-0.689940437,7.436493441,0.364717683,0.321998596,0.017186503,2.049906138,0.233867621,lyriel_v14.safetensors-5
86,LAIONScore,32.0,7.114638373,0.120051061,6.893673897,7.039792538,7.119952679,7.183048964,7.396636486,0.074035177,-0.187547133,8.742014915,0.357427742,0.31061554,0.009565055,1.540003877,0.188777925,lyriel_v14.safetensors-6
87,LAIONScore,32.0,7.030943602,0.153412297,6.649990082,6.959175587,7.031785488,7.104291558,7.503734589,0.376599444,1.955018786,8.440442383,0.258675597,0.33556366,0.011021534,1.376280753,0.165398564,lyriel_v14.safetensors-7
88,LAIONScore,32.0,6.543956727,0.153781197,6.255379677,6.457433343,6.540325165,6.639201164,6.93768692,0.131881885,0.04132833,7.380088761,0.381401565,0.314743042,0.011386196,2.363676555,0.229879133,lyriel_v14.safetensors-8
89,LAIONScore,32.0,7.19492729,0.196717167,6.644377708,7.114227176,7.238242626,7.327978611,7.466475487,-1.267544197,1.300071732,7.233868763,0.579538628,0.341697693,0.010633589,1.950914044,0.237238425,lyriel_v14.safetensors-9
90,LAIONScore,32.0,6.504737481,0.111681364,6.302284241,6.432474732,6.493876219,6.575832367,6.772511482,0.363887002,-0.200044099,6.791414797,0.397092224,0.286716461,0.012989263,2.284769509,0.215423439,majicmixRealistic_v6.safetensors-0
91,LAIONScore,32.0,6.555413499,0.135933682,6.273949623,6.461912155,6.556374073,6.657034874,6.851965904,-0.030931354,-0.586399316,6.060342595,0.422666719,0.27355957,0.019688687,2.385579549,0.227234776,majicmixRealistic_v6.safetensors-1
92,LAIONScore,32.0,6.588966772,0.15212594,6.223948956,6.500773668,6.596467495,6.70630157,6.866430759,-0.50505675,-0.240455869,6.346182585,0.49157479,0.294204712,0.009556035,2.970048733,0.313770304,majicmixRealistic_v6.safetensors-10
93,LAIONScore,32.0,6.413865477,0.178856355,5.876874447,6.309904456,6.392266273,6.523133874,6.852817059,-0.297900597,1.468912494,4.951670468,0.493513173,0.253780365,0.011978003,3.282811172,0.18790193,majicmixRealistic_v6.safetensors-11
94,LAIONScore,32.0,6.451880112,0.29031019,5.948913574,6.212851286,6.455912828,6.662441254,6.969041824,0.059375731,-0.931934166,8.690340132,0.787644371,0.198875427,0.028031312,0.618684335,0.38096787,majicmixRealistic_v6.safetensors-12
95,LAIONScore,32.0,6.407015339,0.170510349,6.080883026,6.339657187,6.413931847,6.52579689,6.781357288,-0.288685881,-0.319581871,6.935859352,0.497832205,0.234790802,0.009570648,2.218732897,0.248456252,majicmixRealistic_v6.safetensors-13
96,LAIONScore,32.0,6.790924102,0.170250341,6.499792099,6.669210672,6.824373007,6.918748736,7.10390234,-0.155307469,-1.080864095,7.503881156,0.515496142,0.224170685,0.024879012,2.189209748,0.306965873,majicmixRealistic_v6.safetensors-14
