,count_LoRALoss,mean_LoRALoss,std_LoRALoss,min_LoRALoss,25%_LoRALoss,50%_LoRALoss,75%_LoRALoss,max_LoRALoss,name,index
StyleLoss,20.0,58204964966.4,11766938113.71617,33980975104.0,52529474560.0,61498195968.0,67329905664.0,70981918720.0,majicmixRealistic_v6.safetensors-LoRA-10,10
StyleLoss,20.0,4073392780.8,688759097.1209887,2917961216.0,3580784192.0,3989238272.0,4621061248.0,5396728832.0,majicmixRealistic_v6.safetensors-LoRA-11,11
StyleLoss,20.0,2117761881.6,282937413.201959,1634236288.0,1900057824.0,2122623040.0,2332572608.0,2629172992.0,majicmixRealistic_v6.safetensors-LoRA-12,12
StyleLoss,20.0,729444542.4,213992276.88793224,393719936.0,567521984.0,708164640.0,916094944.0,1140555008.0,majicmixRealistic_v6.safetensors-LoRA-13,13
StyleLoss,20.0,2156933996.8,835856974.8413023,793404928.0,1547270176.0,2198347072.0,2616781760.0,4426683392.0,majicmixRealistic_v6.safetensors-LoRA-14,14
StyleLoss,20.0,14869079244.8,1170559308.4181056,13179633664.0,13969088000.0,14888109568.0,15545776128.0,17371275264.0,majicmixRealistic_v6.safetensors-LoRA-15,15
StyleLoss,20.0,1290448972.8,252301003.70037,875949504.0,1096358816.0,1214095936.0,1464140448.0,1844895616.0,majicmixRealistic_v6.safetensors-LoRA-2,2
StyleLoss,20.0,15241517158.4,3464927279.608849,9173249024.0,12781072384.0,15381693952.0,16997029376.0,22788098048.0,majicmixRealistic_v6.safetensors-LoRA-3,3
StyleLoss,20.0,473680728.8,203537222.25799316,185776224.0,276881504.0,483321696.0,613590720.0,800036288.0,majicmixRealistic_v6.safetensors-LoRA-4,4
StyleLoss,20.0,652701708.8,126953009.8082731,474693280.0,593866912.0,631400064.0,715049824.0,939192768.0,majicmixRealistic_v6.safetensors-LoRA-5,5
StyleLoss,20.0,2723333772.8,1805823165.7146664,1370008704.0,1687416160.0,1897945280.0,3149954112.0,8055601152.0,majicmixRealistic_v6.safetensors-LoRA-6,6
StyleLoss,20.0,7026740480.0,2224943059.976004,3653605376.0,4839552000.0,6641620480.0,9367347456.0,9944964096.0,majicmixRealistic_v6.safetensors-LoRA-7,7
StyleLoss,20.0,552952694.4,276887731.11794454,203706752.0,321156196.0,537683328.0,767011760.0,1218806272.0,majicmixRealistic_v6.safetensors-LoRA-8,8
StyleLoss,20.0,2476430867.2,341239072.2927196,1806331136.0,2275855104.0,2454718976.0,2755432576.0,2958398208.0,majicmixRealistic_v6.safetensors-LoRA-9,9
StyleLoss,20.0,6567532582.4,1700033388.2170951,2990032384.0,5769757696.0,6685097216.0,7549225600.0,9857078272.0,Moyou_v1020.safetensors-LoRA-0,0
StyleLoss,20.0,3926672313.6,1403032723.8985784,1023562368.0,3253242560.0,3691569408.0,4417479808.0,7322509312.0,Moyou_v1020.safetensors-LoRA-1,1
StyleLoss,20.0,56455154688.0,6964118578.614339,43627577344.0,51270052864.0,56856373248.0,60970135552.0,70287491072.0,Moyou_v1020.safetensors-LoRA-10,10
StyleLoss,20.0,4008641446.4,644701634.2791412,2849167872.0,3466206336.0,3926845440.0,4706247808.0,4972633600.0,Moyou_v1020.safetensors-LoRA-11,11
StyleLoss,20.0,2277896710.4,435235528.1151579,1527597696.0,1965582368.0,2179136384.0,2477477184.0,3506663680.0,Moyou_v1020.safetensors-LoRA-12,12
StyleLoss,20.0,722512212.8,155295453.37853146,438637440.0,638185760.0,750244192.0,806437296.0,1018833792.0,Moyou_v1020.safetensors-LoRA-13,13
StyleLoss,20.0,3065776460.8,885947192.3944266,1395964416.0,2450957056.0,2957337344.0,3543234112.0,4693170688.0,Moyou_v1020.safetensors-LoRA-14,14
StyleLoss,20.0,14280501145.6,1144554029.711066,12279753728.0,13524407552.0,14125791744.0,15222842368.0,16972167168.0,Moyou_v1020.safetensors-LoRA-15,15
StyleLoss,20.0,2740753497.6,500523160.0709111,1708718592.0,2458416832.0,2726008832.0,2958266880.0,3763487232.0,Moyou_v1020.safetensors-LoRA-2,2
StyleLoss,20.0,20499601408.0,3047648249.125568,14901250048.0,18230407680.0,20352657408.0,22416218624.0,25573820416.0,Moyou_v1020.safetensors-LoRA-3,3
StyleLoss,20.0,870217908.8,264542608.0920673,430281632.0,632180976.0,883419520.0,1053383488.0,1296651392.0,Moyou_v1020.safetensors-LoRA-4,4
StyleLoss,20.0,634134355.2,124536287.8521204,355545824.0,556457280.0,631204352.0,719917072.0,908576704.0,Moyou_v1020.safetensors-LoRA-5,5
StyleLoss,20.0,2688334323.2,1701549790.8676703,1074093568.0,1528760256.0,2167194240.0,3056043200.0,7461115392.0,Moyou_v1020.safetensors-LoRA-6,6
StyleLoss,20.0,8701347430.4,1625381023.050454,4785616384.0,8144263424.0,9047137280.0,9864285184.0,10719663104.0,Moyou_v1020.safetensors-LoRA-7,7
StyleLoss,20.0,459112123.2,159760528.29574266,259146944.0,341939208.0,431115248.0,546576896.0,840958464.0,Moyou_v1020.safetensors-LoRA-8,8
StyleLoss,20.0,2403380544.0,301681230.93136305,1912158848.0,2197236096.0,2338974592.0,2535404928.0,3249053952.0,Moyou_v1020.safetensors-LoRA-9,9
StyleLoss,20.0,4242176012.8,1410105949.1568294,2264704512.0,3141435584.0,4209877888.0,4825104640.0,7827680768.0,revAnimated_v122.safetensors-LoRA-0,0
StyleLoss,20.0,1537086362.4,955376893.5749105,267296592.0,827358624.0,1302577216.0,1958068640.0,3958981376.0,revAnimated_v122.safetensors-LoRA-1,1
StyleLoss,20.0,25153794508.8,10033355400.115726,15563892736.0,20314252800.0,21660560384.0,26444234752.0,55201705984.0,revAnimated_v122.safetensors-LoRA-10,10
StyleLoss,20.0,1493228528.0,390916599.98814815,903736448.0,1204268352.0,1459592000.0,1632516352.0,2398686208.0,revAnimated_v122.safetensors-LoRA-11,11
StyleLoss,20.0,1709820332.8,251633986.27022257,1429085440.0,1532411840.0,1675630336.0,1820644352.0,2440192768.0,revAnimated_v122.safetensors-LoRA-12,12
StyleLoss,20.0,675636166.4,200380959.3048621,339385504.0,585503776.0,673221920.0,732050528.0,1284928000.0,revAnimated_v122.safetensors-LoRA-13,13
StyleLoss,20.0,2033147488.0,534156452.2830853,1097447296.0,1670908576.0,2053842048.0,2283388544.0,3144885504.0,revAnimated_v122.safetensors-LoRA-14,14
StyleLoss,20.0,11169071667.2,676616898.5913676,10380578816.0,10635821824.0,10946568704.0,11692695552.0,12660480000.0,revAnimated_v122.safetensors-LoRA-15,15
StyleLoss,20.0,1323343792.0,324952651.5631641,834905216.0,1062754480.0,1237212544.0,1555130016.0,1910892800.0,revAnimated_v122.safetensors-LoRA-2,2
StyleLoss,20.0,10477257523.2,2397729834.889256,7034842624.0,8559314944.0,10250418688.0,11087375104.0,15901196288.0,revAnimated_v122.safetensors-LoRA-3,3
StyleLoss,20.0,980202921.6,368414239.30448574,454544960.0,710962144.0,988236096.0,1159349856.0,1644766720.0,revAnimated_v122.safetensors-LoRA-4,4
StyleLoss,20.0,621098854.4,63137518.61118478,526703232.0,567014976.0,616276160.0,658530176.0,795093888.0,revAnimated_v122.safetensors-LoRA-5,5
StyleLoss,20.0,1241332444.8,528575098.6859058,639396608.0,892280352.0,1245226368.0,1369697664.0,3065244672.0,revAnimated_v122.safetensors-LoRA-6,6
StyleLoss,20.0,7530415590.4,2666258040.000223,4595357184.0,5959977216.0,6854799104.0,7988444160.0,16190185472.0,revAnimated_v122.safetensors-LoRA-7,7
StyleLoss,20.0,705939737.6,254939667.03092808,306277024.0,498026488.0,752200128.0,852703088.0,1211215872.0,revAnimated_v122.safetensors-LoRA-8,8
StyleLoss,20.0,1378553504.0,163378114.86255148,1076046464.0,1296067296.0,1387147008.0,1438067776.0,1743623680.0,revAnimated_v122.safetensors-LoRA-9,9
